station id, station name, valid,povp. dnevna T [°C],oblačnost [%],močan veter,dež,sneg
_1895,LJUBLJANA - BEŽIGRAD,2012-05-03,17.7,30,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-04,17,47,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-05,16.4,47,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-06,14.1,83,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-07,12.8,63,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-08,16.7,50,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-09,19.1,23,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-10,19.7,30,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-11,21.2,20,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-12,20.5,63,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-13,8.3,77,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-14,12,63,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-15,14.1,47,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-16,7.8,100,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-17,12.6,20,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-18,13.1,20,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-19,16.2,20,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-20,17.7,50,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-21,13.7,90,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-22,13.1,97,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-23,17,83,da,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-24,18.4,50,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-25,16.8,40,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-26,15.2,43,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-27,17.8,60,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-28,17.4,67,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-29,18.2,53,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-30,19.5,63,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-31,19,60,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-01,20.3,70,da,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-02,16.8,100,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-03,20.7,57,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-04,17.3,80,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-05,17.1,83,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-06,18.2,57,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-07,19.7,57,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-08,23,43,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-09,17.1,97,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-10,20.2,83,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-11,17.4,80,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-12,13.6,77,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-13,14.2,90,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-14,18.1,53,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-15,21,23,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-16,22.8,7,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-17,24.2,7,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-18,25.8,7,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-19,26.4,10,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-20,27.1,27,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-21,27,20,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-22,22.9,60,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-23,22,53,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-24,24.2,40,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-25,20.3,70,da,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-26,20.9,33,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-27,22.4,13,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-28,25,27,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-29,26.5,13,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-06-30,27.7,7,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-01,28.2,3,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-02,27.7,27,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-03,27.1,33,ne,ne,ne
